Day,Search term,Match type,Added/Excluded,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
2026-04-12,vakantiewoningen voor groepen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[groepshuis huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,kinderbungalow,Exact match,Added,LDL | NL | S | GE | Accommodations > kinderen,[kinderbungalow],0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,vakantiepark met mooiste subtropisch zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[vakantiepark subtropisch zwembad],1,1,100.00%,EUR,1.95,1.95,0.00%,0.00,0.00
2026-04-02,huisje huren 7 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[7 personen huis huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,11 persoons huisje huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[11 personen vakantiehuis],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,villa met zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,10 pers vakantiehuis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[huisje 10 personen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,familie huizen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > familie,[familie huis huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,dagje en nachtje weg met kind,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[overnachting met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,8 persoons vakantiehuis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[vakantiehuisje 8 personen],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,vlissingen wellness,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > wellness,[wellness vlissingen],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-01,10 persoons vakantiehuis,Exact match,Added,LDL | NL | S | GE | Accommodations > 9-13 persoons,[10 persoons vakantiehuis],6,15,40.00%,EUR,1.98,11.85,0.00%,0.00,0.00
2026-04-10,huis 14 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[14 persoons vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-04,spa aan zee,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > wellness,[wellness aan zee],1,2,50.00%,EUR,1.97,1.97,0.00%,0.00,0.00
2026-04-12,huis voor 14 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[14 personen vakantiehuis],2,1,200.00%,EUR,0.69,1.38,0.00%,0.00,0.00
2026-03-31,luxe 12 persoons vakantiehuis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,huis familieweekend,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > familie,[familiebungalow],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,vakantiebungalows,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiepark,[bungalow park],1,1,100.00%,EUR,1.93,1.93,0.00%,0.00,0.00
2026-04-05,leukste vakantiepark met peuter,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantiepark kleine kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,leukste vakantiepark met kleine kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantiepark kleine kinderen],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,vakantiepark met wellness huisjes,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[vakantiepark met wellness huisjes],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,prive villa met zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[vakantiehuisje met prive zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantiehuis 10 persoons,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[huisje huren 10 personen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,15 persoons vakantiehuis,Exact match,Added,LDL | NL | S | GE | Accommodations > 14-19 persoons,[15 persoons vakantiehuis],3,3,100.00%,EUR,1.31,3.92,0.00%,0.00,0.00
2026-04-06,prive huis met zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,huis 14 personen huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[14 persoons vakantiehuis],1,2,50.00%,EUR,1.90,1.90,0.00%,0.00,0.00
2026-04-01,leukste overnachting met kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[logeren met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,overnachting met hottub,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[accommodatie met hottub],1,1,100.00%,EUR,1.31,1.31,0.00%,0.00,0.00
2026-04-04,huisje huren 15 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[15 personen huis huren],1,1,100.00%,EUR,1.59,1.59,0.00%,0.00,0.00
2026-03-31,groepsaccommodatie voor 20 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 20+ persoons,[20 persoons vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,24 personen vakantiehuis,Exact match,Added,LDL | NL | S | GE | Accommodations > 20+ persoons,[24 personen vakantiehuis],1,1,100.00%,EUR,1.94,1.94,0.00%,0.00,0.00
2026-04-11,groepshuis 8 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[8 personen huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,kindvriendelijk vakantiepark,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[kindvriendelijke vakantieparken],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,huisje 5 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[5 personen huisje huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,vakantiehuis huren op park,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiepark,[huisje op vakantiepark],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,leukste vakantieparken voor kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[kindvriendelijke vakantieparken],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,vakantiehuisje voor 10 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[10 persoons vakantiehuis],2,1,200.00%,EUR,1.93,3.86,0.00%,0.00,0.00
2026-04-12,huisje met whirlpool,Exact match,Added,LDL | NL | S | GE | Accommodations > bubbelbad,[huisje met whirlpool],1,2,50.00%,EUR,1.99,1.99,0.00%,0.00,0.00
2026-04-12,huisjes huren,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[huisjes huren],2,15,13.33%,EUR,1.99,3.97,0.00%,0.00,0.00
2026-04-10,10 persoons vakantiehuis,Exact match,Added,LDL | NL | S | GE | Accommodations > 9-13 persoons,[10 persoons vakantiehuis],4,17,23.53%,EUR,1.94,7.75,0.00%,0.00,0.00
2026-04-02,vakantiepark met waterpark,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[vakantiepark met waterpark],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,huisje,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[huisje],1,18,5.56%,EUR,1.96,1.96,0.00%,0.00,0.00
2026-04-12,vakantiehuisje huren 10 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[huisje huren 10 personen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,huis huren 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen vakantiehuisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,groepsverblijf 15 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[15 persoons vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantiehuis voor 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantie wellness huisje,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[vakantie wellness huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,huisje voor 2,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 1-4 persoons,[2 personen huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,groepsaccommodatie 16 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[16 personen vakantiepark],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,zwembad vakantiepark,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[park met zwemparadijs],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,familiehuis huren,Exact match (close variant),Added,LDL | NL | S | GE | Accommodations > familie,[familievakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,huisje 10 personen,Exact match,Added,LDL | NL | S | GE | Accommodations > 9-13 persoons,[huisje 10 personen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,huis vakantie,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[vakantie huisjes],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-03-31,vakantiehuisje voor kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantiehuisje met kinderen],1,1,100.00%,EUR,1.99,1.99,0.00%,0.00,0.00
2026-04-06,kinderhuisje,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[kinderbungalow],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,8 persoons vakantie,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[8 persoons huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,huisje met zwembad,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[huisje met zwembad],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantiebungalow met prive zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,groepsaccommodatie 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen vakantiehuis],1,1,100.00%,EUR,2.00,2.00,4.51%,0.05,44.33
2026-04-13,vakantie villa met prive zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[vakantiehuis met privé zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,bungalow huis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[bungalow],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,vakantiehuis familieweekend,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > familie,[familiebungalow],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,groepsovernachting,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[groepsvakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,8 personen huisje huren,Exact match,Added,LDL | NL | S | GE | Accommodations > 5-8 persoons,[8 personen huisje huren],1,2,50.00%,EUR,1.94,1.94,0.00%,0.00,0.00
2026-04-06,overnachten met kind,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[overnachting met kinderen],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,vakantiehuisje 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen vakantiehuis],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,overnachting 6 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[6 personen accommodatie],1,2,50.00%,EUR,1.55,1.55,0.00%,0.00,0.00
2026-04-12,vakantiepark 11 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[11 personen vakantiepark],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,vakantie huisje huren,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[vakantie huisje huren],2,18,11.11%,EUR,1.94,3.88,0.00%,0.00,0.00
2026-04-02,vakantiepark subtropisch zwembad,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[vakantiepark subtropisch zwembad],1,5,20.00%,EUR,1.91,1.91,0.00%,0.00,0.00
2026-04-11,sauna huisje,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > sauna,[vakantiehuis met sauna],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,wellness prive huisje,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > wellness,[prive wellness huisje],0,8,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,vakantiehuis bubbelbad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[vakantiehuis met bubbelbad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-04,huisjes met hottub,Exact match,Added,LDL | NL | S | GE | Accommodations > bubbelbad,[huisjes met hottub],1,2,50.00%,EUR,1.98,1.98,0.00%,0.00,0.00
2026-04-05,bunga ow,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[bungalow],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,vakantiewoning 7 slaapkamers,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[7 personen vakantiehuisje],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,vakantie bungalow,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[bungalow],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantiepark met zwemparadijs,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[vakantiepark met zwemparadijs],1,8,12.50%,EUR,1.91,1.91,0.00%,0.00,0.00
2026-04-12,vakantiepark met prive zwembad,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[vakantiepark met prive zwembad],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,groepsaccommodatie 24 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 20+ persoons,[vakantiehuis voor 24 personen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,vakantiepark kleine kinderen,Exact match,Added,LDL | NL | S | GE | Accommodations > kinderen,[vakantiepark kleine kinderen],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,groepsaccommodatie 18 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[18 persoons vakantiehuis],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,huisje voor 2 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 1-4 persoons,[2 personen huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,4 persoons huisje huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 1-4 persoons,[4 personen huisje],1,1,100.00%,EUR,1.69,1.69,0.00%,0.00,0.00
2026-04-05,kids vakantie,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[kinder vakantie],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,weekend weg met familie 10 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[10 personen vakantie],0,6,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,huisje met wellness huren,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[huisje met wellness huren],1,2,50.00%,EUR,1.97,1.97,0.00%,0.00,0.00
2026-04-01,1 nachtje weg met gezin,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[overnachting met kinderen],1,3,33.33%,EUR,1.92,1.92,0.00%,0.00,0.00
2026-04-12,goedkope groepsaccommodatie 16 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[16 persoons vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,huisje voor 2 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 1-4 persoons,[2 personen huisje],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,vakantie villa met prive zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,7,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-03,wellness huisje met hond,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[wellness huisje met hond],2,4,50.00%,EUR,1.97,3.95,0.00%,0.00,0.00
2026-04-01,overnachten met gezin,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[overnachting met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,vakantiehuis voor 8 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[8 personen vakantiehuis],1,1,100.00%,EUR,1.92,1.92,0.00%,0.00,0.00
2026-04-12,vakantiepark voor kids,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantiepark met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,jacuzzi bungalow,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[huisjes met hottub],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,groepshuizen huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[groepsvakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,wellnesshuisje,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[wellnesshuisje],0,6,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,recreatiewoning te huur,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[recreatiewoning huren],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,vakantiehuisje met bubbelbad,Exact match,Added,LDL | NL | S | GE | Accommodations > bubbelbad,[vakantiehuisje met bubbelbad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-03-31,verblijf grote groepen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[groepshuis huren],1,1,100.00%,EUR,2.00,2.00,0.00%,0.00,0.00
2026-03-31,wellness huisje met jacuzzi,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[wellness huisje met jacuzzi],1,5,20.00%,EUR,1.98,1.98,0.00%,0.00,0.00
2026-04-12,huisje huren 8 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 5-8 persoons,[8 personen vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,vakantiepark wellness huisje,Exact match,Added,LDL | NL | S | GE | Accommodations > wellness,[vakantiepark wellness huisje],0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,vakantiehuisje met eigen zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[vakantiehuis met zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,bijzondere groepsaccommodatie 20 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 20+ persoons,[20 personen huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,glamperen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > glamping,[luxe glamping],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-05,vakantiepark familie,Exact match,Added,LDL | NL | S | GE | Accommodations > familie,[vakantiepark familie],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,huis met prive zwembad huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,10 persoonshuis huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[10 personen huisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,familie vakantiehuis 20 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 20+ persoons,[20 personen huis huren],1,1,100.00%,EUR,1.90,1.90,0.00%,0.00,0.00
2026-04-13,vakantie huisje,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[vakantie huisje],7,55,12.73%,EUR,1.90,13.29,0.00%,0.00,0.00
2026-04-10,bubbelbad huisjes,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[huisjes met hottub],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-01,vakantiebestemmingen met kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[reizen met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,groepshuis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[grote vakantiehuizen],1,1,100.00%,EUR,1.99,1.99,0.00%,0.00,0.00
2026-04-04,recreatiewoning,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[vakantie huisjes],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-01,vakantiepark met veel glijbanen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[park met waterpark],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-09,familiehuis,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > familie,[familiehuisje],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
